indicator,date,rate
low,2022-01-12 14:46:00,2825.07
close,2022-01-12 14:46:00,2825.23
open,2022-01-12 14:45:00,2826.615
high,2022-01-12 14:45:00,2826.615
low,2022-01-12 14:45:00,2823.705
close,2022-01-12 14:45:00,2824.52
open,2022-01-12 14:44:00,2828.87
high,2022-01-12 14:44:00,2829.36
low,2022-01-12 14:44:00,2827.585
close,2022-01-12 14:44:00,2827.585
open,2022-01-12 14:43:00,2831.32
high,2022-01-12 14:43:00,2831.32
low,2022-01-12 14:43:00,2828.865
close,2022-01-12 14:43:00,2828.895
open,2022-01-12 14:42:00,2833.97
high,2022-01-12 14:42:00,2833.97
low,2022-01-12 14:42:00,2832.48
close,2022-01-12 14:42:00,2832.59
open,2022-01-12 14:41:00,2834.15
high,2022-01-12 14:41:00,2834.47
low,2022-01-12 14:41:00,2834.15
close,2022-01-12 14:41:00,2834.47
open,2022-01-12 14:40:00,2834.805
high,2022-01-12 14:40:00,2835.47
low,2022-01-12 14:40:00,2834.77
close,2022-01-12 14:40:00,2834.77
open,2022-01-12 14:38:00,2832.35
high,2022-01-12 14:38:00,2832.35
low,2022-01-12 14:38:00,2832.35
close,2022-01-12 14:38:00,2832.35
open,2022-01-12 14:36:00,2832.97
high,2022-01-12 14:36:00,2832.97
low,2022-01-12 14:36:00,2831.69
close,2022-01-12 14:36:00,2831.84
open,2022-01-12 14:35:00,2832.35
high,2022-01-12 14:35:00,2832.6288
low,2022-01-12 14:35:00,2832.35
close,2022-01-12 14:35:00,2832.6288
open,2022-01-12 14:34:00,2832.51
high,2022-01-12 14:34:00,2832.51
low,2022-01-12 14:34:00,2830.52
close,2022-01-12 14:34:00,2830.67
open,2022-01-12 14:32:00,2834.11
high,2022-01-12 14:32:00,2834.11
low,2022-01-12 14:32:00,2832.46
close,2022-01-12 14:32:00,2832.46
open,2022-01-12 14:31:00,2834.955
high,2022-01-12 14:31:00,2834.955
low,2022-01-12 14:31:00,2834.955
close,2022-01-12 14:31:00,2834.955
open,2022-01-12 14:30:00,2835.0
high,2022-01-12 14:30:00,2835.15
low,2022-01-12 14:30:00,2834.3
close,2022-01-12 14:30:00,2834.615
open,2022-01-12 14:29:00,2836.0
high,2022-01-12 14:29:00,2836.0
low,2022-01-12 14:29:00,2836.0
close,2022-01-12 14:29:00,2836.0
open,2022-01-12 14:27:00,2835.44
high,2022-01-12 14:27:00,2835.44
low,2022-01-12 14:27:00,2834.81
close,2022-01-12 14:27:00,2835.165
open,2022-01-12 14:26:00,2834.29
high,2022-01-12 14:26:00,2834.29
low,2022-01-12 14:26:00,2834.29
close,2022-01-12 14:26:00,2834.29
open,2022-01-12 14:25:00,2835.635
high,2022-01-12 14:25:00,2835.635
low,2022-01-12 14:25:00,2834.77
close,2022-01-12 14:25:00,2834.77
open,2022-01-12 14:24:00,2836.13
high,2022-01-12 14:24:00,2836.56
low,2022-01-12 14:24:00,2836.12
close,2022-01-12 14:24:00,2836.56
open,2022-01-12 14:23:00,2834.52
high,2022-01-12 14:23:00,2835.0
low,2022-01-12 14:23:00,2834.52
close,2022-01-12 14:23:00,2835.0
open,2022-01-12 14:22:00,2834.0
high,2022-01-12 14:22:00,2834.0
low,2022-01-12 14:22:00,2834.0
close,2022-01-12 14:22:00,2834.0
open,2022-01-12 14:21:00,2832.88
high,2022-01-12 14:21:00,2833.45
low,2022-01-12 14:21:00,2832.88
close,2022-01-12 14:21:00,2833.45
open,2022-01-12 14:18:00,2832.6791
high,2022-01-12 14:18:00,2832.6791
low,2022-01-12 14:18:00,2832.6791
close,2022-01-12 14:18:00,2832.6791
open,2022-01-12 14:17:00,2831.81
high,2022-01-12 14:17:00,2831.81
low,2022-01-12 14:17:00,2831.81
close,2022-01-12 14:17:00,2831.81
open,2022-01-12 14:16:00,2832.91
high,2022-01-12 14:16:00,2832.91
low,2022-01-12 14:16:00,2831.8143
close,2022-01-12 14:16:00,2831.8143
